,,BIOL040  PO ,BIOL043L KS ,BIOL044LXKS ,BIOL052  HM ,BIOL052R HM ,BIOL054  HM ,BIOL081  HM ,BIOL081A HM ,BIOL101  HM ,BIOL103  HM ,BIOL108  HM ,BIOL109  HM ,BIOL110  HM ,BIOL111  HM ,BIOL113  HM ,BIOL115  HM ,BIOL118  HM ,BIOL119  HM ,BIOL121  HM ,BIOL122  HM ,BIOL122A HM ,BIOL122B HM ,BIOL133L KS ,BIOL146L KS ,BIOL147  KS ,BIOL150ALJS ,BIOL150ALKS ,BIOL150BLKS ,BIOL153  HM ,BIOL154  HM ,BIOL154  JS ,BIOL154  KS ,BIOL158  KS ,BIOL159  KS ,BIOL160  HM ,BIOL160  PO ,BIOL161  HM ,BIOL162  HM ,BIOL164  KS ,BIOL165  PO ,BIOL167  KS ,BIOL168L KS ,BIOL169  PO ,BIOL169 LPO ,BIOL173  PO ,BIOL175  KS ,BIOL177  KS ,BIOL182  HM ,BIOL183  HM ,BIOL184  HM ,BIOL185  HM ,BIOL185A HM ,BIOL185B HM ,BIOL186  HM ,BIOL186A HM ,BIOL186B HM ,BIOL186C HM ,BIOL187  HM ,BIOL188  HM ,BIOL189  HM ,BIOL189Y PO ,BIOL191  HM ,BIOL192  HM ,BIOL193  HM ,BIOL194  HM ,BIOL195  HM ,BIOL196  HM ,BIOL197  HM ,BIOL198  HM ,BIOL199IRPO ,CSCI005  HM ,CSCI005GLHM ,CSCI005GRHM ,CSCI005L HM ,CSCI006  HM ,CSCI035  HM ,CSCI040  CM ,CSCI042  HM ,CSCI052  PO ,CSCI060  HM ,CSCI070  HM ,CSCI070L HM ,CSCI081  HM ,CSCI081  PO ,CSCI105  HM ,CSCI105  JT ,CSCI105  PO ,CSCI105 LPO ,CSCI105L HM ,CSCI105L JT ,CSCI106  HM ,CSCI111  HM ,CSCI121  HM ,CSCI121L HM ,CSCI124  HM ,CSCI124A HM ,CSCI125  HM ,CSCI131  HM ,CSCI131  PO ,CSCI132  HM ,CSCI133  CM ,CSCI133  HM ,CSCI133  PO ,CSCI134  HM ,CSCI134  PO ,CSCI135  CM ,CSCI135  HM ,CSCI137  HM ,CSCI140  HM ,CSCI140  PO ,CSCI142  HM ,CSCI144  HM ,CSCI145  CM ,CSCI151  HM ,CSCI151  PO ,CSCI152  HM ,CSCI153  HM ,CSCI155  HM ,CSCI157  HM ,CSCI158  HM ,CSCI158  PO ,CSCI159  HM ,CSCI159  PO ,CSCI181  CM ,CSCI181A HM ,CSCI181A PO ,CSCI181B HM ,CSCI181C HM ,CSCI181D HM ,CSCI181D PO ,CSCI181E HM ,CSCI181F HM ,CSCI181F PO ,CSCI181G HM ,CSCI181G PO ,CSCI181H HM ,CSCI181H PO ,CSCI181I HM ,CSCI181J HM ,CSCI181J PO ,CSCI181K HM ,CSCI181K PO ,CSCI181L HM ,CSCI181M PO ,CSCI181N HM ,CSCI181O PO ,CSCI181P PO ,CSCI182  HM ,CSCI182B HM ,CSCI182D HM ,CSCI182E HM ,CSCI182F HM ,CSCI183  HM ,CSCI184  HM ,CSCI185  HM ,CSCI186  HM ,CSCI189  HM ,CSCI189A PO ,CSCI191  HM ,CSCI192  HM ,CSCI195  HM ,CSCI197  HM ,CSCI198  HM ,CSCI199DRPO ,CSCI199IRPO 
green,2009,,,,,,2,2,,2,,4,2,,2,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,,,,,,,0,0,2,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,2,,4,,,4,,,,0,,,2,0,,2,,4,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,2,,,2,4,,,4,,2,4,0,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,2,,2,,4,,,,,,,2,4,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,,4,,2,2,,,,,,,0,,,,
green,2009,,,,,,4,,,4,,4,4,,4,4,2,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,4,,2,,,,,,,,,,2,,0,0,,2,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
green,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
