PO  ,M,PPHY,    ,CSCI060  HM ,2009,SP  ,PHY
PO  ,M,PMAT,    ,CSCI060  HM ,2010,SP  ,MAT
PO  ,M,PMAT,    ,CSCI060  HM ,2009,FA  ,MAT
PO  ,F,PMOB,    ,CSCI060  HM ,2012,SP  ,MOB
PO  ,M,PMUS,    ,CSCI060  HM ,2012,SP  ,MUS
PO  ,F,PPHY,PMAT,CSCI060  HM ,2011,FA  ,PHY
PO  ,M,PCSI,    ,CSCI060  HM ,2010,SP  ,CSI
PO  ,M,PMAT,    ,CSCI060  HM ,2012,FA  ,MAT
PO  ,M,PLCS,    ,CSCI060  HM ,2012,SP  ,LCS
PO  ,M,PECO,    ,CSCI060  HM ,2011,SP  ,ECO
PO  ,F,PNEU,    ,CSCI060  HM ,2012,FA  ,NEU
PO  ,F,PCSI,    ,CSCI060  HM ,2014,SP  ,CSI
PO  ,F,PPHY,    ,CSCI060  HM ,2013,FA  ,PHY
PO  ,M,PMAT,    ,CSCI060  HM ,2014,SP  ,MAT
PO  ,F,PNEU,    ,CSCI060  HM ,2012,FA  ,NEU
PO  ,F,PCHE,    ,CSCI060  HM ,2014,FA  ,CHE
PO  ,F,PPHI,    ,CSCI060  HM ,2012,SP  ,PHI
PO  ,M,PPHY,PMAT,CSCI060  HM ,2014,SP  ,PHY
PO  ,F,PCSI,    ,CSCI060  HM ,2012,SP  ,CSI
PO  ,M,PCHE,    ,CSCI060  HM ,2014,SP  ,CHE
PO  ,F,PCSI,    ,CSCI060  HM ,2011,SP  ,CSI
PO  ,M,PMAT,PPHI,CSCI060  HM ,2012,FA  ,MAT
PO  ,F,PNEU,    ,CSCI060  HM ,2014,SP  ,NEU
PO  ,F,PMAT,    ,CSCI060  HM ,2012,SP  ,MAT
PO  ,M,PECO,    ,CSCI060  HM ,2014,SP  ,ECO
PO  ,F,PRST,PMAT,CSCI060  HM ,2012,SP  ,RST
PO  ,M,PMAT,    ,CSCI060  HM ,2012,SP  ,MAT
PO  ,F,PCSI,    ,CSCI060  HM ,2013,SP  ,CSI
PO  ,F,PCSI,    ,CSCI060  HM ,2013,SP  ,CSI
PO  ,F,PCHE,    ,CSCI060  HM ,2014,FA  ,CHE
PO  ,M,PLCS,    ,CSCI060  HM ,2013,FA  ,LCS
PO  ,M,PMAT,    ,CSCI060  HM ,2015,SP  ,MAT
PO  ,M,PPHY,    ,CSCI060  HM ,2015,SP  ,PHY
PO  ,F,PMOB,    ,CSCI060  HM ,2013,FA  ,MOB
PO  ,M,PMAT,    ,CSCI060  HM ,2014,SP  ,MAT
PO  ,M,PNEU,    ,CSCI060  HM ,2013,SP  ,NEU
PO  ,F,PMAT,    ,CSCI060  HM ,2013,FA  ,MAT
PO  ,M,PECO,    ,CSCI060  HM ,2012,SP  ,ECO
PO  ,F,PPSY,    ,CSCI060  HM ,2014,FA  ,PSY
PO  ,M,PCSI,PMAT,CSCI060  HM ,2014,SP  ,CSI
PO  ,M,PPHY,    ,CSCI060  HM ,2014,SP  ,PHY
PO  ,F,PECO,PCSI,CSCI060  HM ,2013,FA  ,ECO
PO  ,M,PMAT,    ,CSCI060  HM ,2013,SP  ,MAT
PO  ,F,PMAT,    ,CSCI060  HM ,2014,FA  ,MAT
PO  ,M,PPHY,    ,CSCI060  HM ,2013,SP  ,PHY
PO  ,M,PMAT,    ,CSCI060  HM ,2013,SP  ,MAT
PO  ,M,PCHE,    ,CSCI060  HM ,2012,SP  ,CHE
